ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.017, 2.344, 0.013, 2.734, 0.010, 0.391, 0.009, 0.781, 0.009, 3.027, 0.007, 2.344, 0.003, 0.781, 0.003, 2.734, 0.003, 3.027, 0.002, 0.391, 0.017, 2.344, 0.013, 2.734, 0.010, 0.391, 0.009, 0.781, 0.009, 3.027, 0.050, 2.344, 0.013, 0.781,0,0,0,0,0,0, 0.122, 2.344, 0.050, 0.781, 0.044, 2.734, 0.037, 3.027, 0.026, 0.391,ESValid
 0.571, 0.293, 0.546, 2.246, 0.501, 0.488, 0.420, 1.758, 0.407, 0.879, 0.337, 2.246, 0.272, 0.293, 0.245, 0.488, 0.220, 0.879, 0.198, 1.758, 0.571, 0.293, 0.546, 2.246, 0.501, 0.488, 0.420, 1.758, 0.407, 0.879, 1.570, 2.246, 0.779, 0.879, 0.515, 1.758, 0.494, 0.488, 0.370, 1.465, 2.677, 2.246, 1.887, 0.879, 1.378, 0.488, 1.183, 1.758, 1.003, 1.465,ESWarning
 0.645, 2.344, 0.344, 2.051,0,0,0,0,0,0, 0.474, 2.344, 0.164, 2.051,0,0,0,0,0,0, 0.645, 2.344, 0.344, 2.051,0,0,0,0,0,0, 2.651, 2.344, 0.790, 2.051,0,0,0,0,0,0, 3.409, 2.344, 1.575, 2.051,0,0,0,0,0,0,ESNormal
 0.261, 2.148, 0.248, 0.391, 0.162, 1.953, 0.160, 0.781, 0.150, 2.441, 0.128, 2.148, 0.079, 0.391, 0.064, 2.441, 0.062, 1.953, 0.060, 1.172, 0.261, 2.148, 0.248, 0.391, 0.162, 1.953, 0.160, 0.781, 0.150, 2.441, 0.333, 2.441, 0.200, 1.172, 0.189, 1.953, 0.185, 2.148, 0.173, 0.781, 0.868, 1.172, 0.695, 2.441, 0.675, 2.148, 0.607, 1.953, 0.526, 0.391,ESValid
 0.541, 2.148, 0.313, 2.344, 0.281, 1.953,0,0,0,0, 0.307, 2.148, 0.182, 2.344, 0.146, 1.953,0,0,0,0, 0.541, 2.148, 0.313, 2.344, 0.281, 1.953,0,0,0,0, 1.058, 2.344, 0.438, 2.148, 0.419, 1.953, 0.281, 0.781, 0.273, 1.367, 1.581, 2.344, 1.014, 2.148, 0.888, 1.953, 0.818, 1.367, 0.748, 0.781,ESValid
 0.062, 2.246, 0.044, 2.539,0,0,0,0,0,0, 0.038, 2.246, 0.023, 2.539,0,0,0,0,0,0, 0.062, 2.246, 0.044, 2.539,0,0,0,0,0,0, 0.193, 2.246, 0.096, 2.539,0,0,0,0,0,0, 0.332, 2.246, 0.213, 2.539,0,0,0,0,0,0,ESNormal
 0.334, 2.344,0,0,0,0,0,0,0,0, 0.251, 2.344,0,0,0,0,0,0,0,0, 0.334, 2.344,0,0,0,0,0,0,0,0, 1.388, 2.344,0,0,0,0,0,0,0,0, 2.522, 2.344,0,0,0,0,0,0,0,0,ESValid
 0.740, 2.344,0,0,0,0,0,0,0,0, 0.467, 2.344,0,0,0,0,0,0,0,0, 0.740, 2.344,0,0,0,0,0,0,0,0, 1.189, 2.344,0,0,0,0,0,0,0,0, 2.781, 2.344,0,0,0,0,0,0,0,0,ESNormal
 0.123, 2.344, 0.099, 2.734, 0.073, 3.027,0,0,0,0, 0.064, 2.344, 0.036, 3.027, 0.023, 2.734,0,0,0,0, 0.123, 2.344, 0.099, 2.734, 0.073, 3.027,0,0,0,0, 0.474, 2.344, 0.145, 3.027,0,0,0,0,0,0, 0.842, 2.344, 0.332, 2.734, 0.295, 3.027,0,0,0,0,ESValid
 0.686, 2.246,0,0,0,0,0,0,0,0, 0.521, 2.246,0,0,0,0,0,0,0,0, 0.686, 2.246,0,0,0,0,0,0,0,0, 3.096, 2.246,0,0,0,0,0,0,0,0, 3.962, 2.246,0,0,0,0,0,0,0,0,ESNormal
