ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.099, 1.465, 0.064, 0.610, 0.056, 0.879, 0.050, 1.099,0,0, 0.085, 1.465, 0.035, 1.099, 0.033, 0.879, 0.027, 0.610,0,0, 0.099, 1.465, 0.064, 0.610, 0.056, 0.879, 0.050, 1.099,0,0, 0.219, 1.099, 0.188, 1.465, 0.095, 0.952, 0.089, 0.732, 0.088, 0.610, 0.268, 1.465, 0.250, 1.099, 0.220, 0.610, 0.102, 0.879,0,0,8
 0.093, 2.588, 0.082, 0.684, 0.059, 2.686, 0.051, 4.004, 0.047, 4.346, 0.069, 0.684, 0.062, 2.588, 0.038, 2.686, 0.035, 4.004, 0.024, 4.346, 0.093, 2.588, 0.082, 0.684, 0.059, 2.686, 0.051, 4.004, 0.047, 4.346, 0.199, 2.588, 0.147, 0.684, 0.097, 2.686, 0.079, 4.004, 0.071, 4.346, 0.441, 2.588, 0.229, 0.684, 0.166, 4.346, 0.153, 4.004, 0.150, 2.686,8
 0.198, 1.978, 0.166, 2.783,0,0,0,0,0,0, 0.179, 1.978, 0.143, 2.783,0,0,0,0,0,0, 0.198, 1.978, 0.166, 2.783,0,0,0,0,0,0, 0.320, 1.978, 0.317, 2.783,0,0,0,0,0,0, 0.423, 2.783, 0.403, 1.978, 0.203, 0.708,0,0,0,0,8
 0.645, 0.684, 0.494, 0.610,0,0,0,0,0,0, 0.543, 0.684, 0.217, 0.610,0,0,0,0,0,0, 0.645, 0.684, 0.494, 0.610,0,0,0,0,0,0, 1.875, 0.684,0,0,0,0,0,0,0,0, 2.073, 0.684, 0.680, 0.610,0,0,0,0,0,0,8
 0.999, 0.610, 0.772, 2.222, 0.656, 0.708, 0.586, 0.830, 0.574, 0.928, 0.504, 2.222, 0.380, 0.610, 0.322, 1.318, 0.299, 2.124, 0.291, 2.393, 0.999, 0.610, 0.772, 2.222, 0.656, 0.708, 0.586, 0.830, 0.574, 0.928, 1.690, 2.222, 1.144, 1.318, 0.984, 2.393, 0.858, 0.610, 0.743, 2.124, 3.728, 2.222, 2.702, 0.610, 2.282, 2.124, 2.034, 1.318, 1.767, 0.757,8
 0.204, 2.197, 0.189, 2.148, 0.167, 2.100, 0.160, 1.782, 0.152, 0.854, 0.108, 1.782, 0.088, 2.100, 0.083, 2.197, 0.068, 2.271, 0.064, 2.148, 0.204, 2.197, 0.189, 2.148, 0.167, 2.100, 0.160, 1.782, 0.152, 0.854, 0.453, 2.271, 0.391, 1.782, 0.266, 0.928, 0.239, 2.100, 0.174, 2.197, 0.927, 2.271, 0.813, 1.782, 0.612, 2.197, 0.561, 0.928, 0.457, 2.100,8
 0.052, 1.807, 0.050, 0.806, 0.047, 0.708, 0.043, 0.952, 0.041, 0.903, 0.029, 1.807, 0.028, 0.806, 0.021, 1.929, 0.021, 0.952, 0.019, 1.294, 0.052, 1.807, 0.050, 0.806, 0.047, 0.708, 0.043, 0.952, 0.041, 0.903, 0.121, 1.807, 0.094, 0.806, 0.076, 0.952, 0.075, 0.659, 0.066, 1.196, 0.328, 1.807, 0.183, 0.806, 0.155, 0.708, 0.148, 1.196, 0.147, 0.952,8
 0.154, 1.978, 0.150, 0.732, 0.136, 0.635, 0.124, 0.684, 0.117, 0.952, 0.095, 1.978, 0.057, 0.732, 0.056, 0.952, 0.053, 1.147, 0.046, 1.733, 0.154, 1.978, 0.150, 0.732, 0.136, 0.635, 0.124, 0.684, 0.117, 0.952, 0.474, 1.978, 0.189, 0.732, 0.181, 1.440, 0.170, 0.952, 0.153, 1.733, 0.978, 1.978, 0.602, 0.732, 0.548, 1.440, 0.445, 0.952, 0.407, 2.124,8
 0.384, 1.221, 0.366, 1.147, 0.354, 1.099, 0.346, 1.001, 0.345, 1.050, 0.162, 1.221, 0.151, 0.732, 0.142, 1.489, 0.138, 1.929, 0.136, 1.001, 0.384, 1.221, 0.366, 1.147, 0.354, 1.099, 0.346, 1.001, 0.345, 1.050, 0.810, 1.001, 0.556, 0.732, 0.345, 2.075, 0.303, 1.929, 0.292, 1.489, 1.733, 1.001, 1.317, 1.221, 1.128, 0.732, 0.994, 1.050, 0.948, 1.099,8
 1.000, 1.538, 0.807, 1.709, 0.713, 1.318, 0.708, 1.465, 0.676, 1.807, 0.625, 1.538, 0.420, 1.025, 0.402, 1.709, 0.349, 1.318, 0.266, 1.807, 1.000, 1.538, 0.807, 1.709, 0.713, 1.318, 0.708, 1.465, 0.676, 1.807, 2.521, 1.025, 1.178, 1.318, 0.949, 1.978, 0.901, 1.538, 0.667, 0.977, 4.275, 1.025, 2.571, 1.978, 2.526, 1.807, 2.472, 1.318, 2.391, 1.636,8
